RegionID,zipcode,City,State,Metro,CountyName,SizeRank,PctChangeLast6Mos,PctChangeYOY
76575,43206,Columbus,OH,Columbus,Franklin County,3906,0.090909091,0.384615385
76497,43064,Plain City,OH,Columbus,Union County,7238,0.207792208,0.377777778
76482,43040,Marysville,OH,Columbus,Union County,2886,0.201492537,0.36440678
88335,69129,Chappell,NE,,Deuel County,14651,0.125,0.358490566
88262,68939,Franklin,NE,,Franklin County,14787,0.136363636,0.351351351
76500,43067,Raymond,OH,Columbus,Union County,14627,0.209090909,0.343434343
76485,43045,Milford Center,OH,Columbus,Union County,14288,0.169491525,0.326923077
74071,36862,Lafayette,AL,Valley,Chambers County,9943,0.205882353,0.322580645
68897,26149,Middlebourne,WV,,Tyler County,13095,0.13559322,0.288461538
70661,29684,Starr,SC,Greenville-Anderson-Mauldin,Anderson County,11052,0.094594595,0.285714286
84159,59730,Gallatin Gateway,MT,Bozeman,Gallatin County,13093,0.027777778,0.283911672
89215,71832,De Queen,AR,,Sevier County,8534,0.038961039,0.26984127
94969,85534,Duncan,AZ,,Greenlee County,13078,0.08974359,0.268656716
71001,30274,Riverdale,GA,Atlanta-Sandy Springs-Roswell,Clayton County,2820,0.109375,0.267857143
71756,32055,Lake City,FL,Lake City,Columbia County,6821,0.058823529,0.263157895
74663,38127,Memphis,TN,Memphis,Shelby County,1745,0.054054054,0.258064516
73855,36420,Andalusia,AL,,Covington County,7655,0.139534884,0.256410256
74358,37391,Turtletown,TN,Cleveland,Polk County,14168,0.118421053,0.25
100043,98948,Toppenish,WA,Yakima,Yakima County,8086,0.088495575,0.242424242
75142,39092,Lake,MS,,Scott County,12616,0.090909091,0.24137931
71519,31404,Savannah,GA,Savannah,Chatham County,3027,0.050632911,0.23880597
94053,83210,Aberdeen,ID,Blackfoot,Bingham County,13102,0.059322034,0.237623762
94323,83821,Coolin,ID,Sandpoint,Bonner County,14981,0.092307692,0.236933798
82683,56180,Walnut Grove,MN,,Redwood County,14847,0.16,0.234042553
70551,29560,Lake City,SC,Florence,Florence County,7087,0.115384615,0.234042553
73675,35987,Steele,AL,Birmingham-Hoover,Saint Clair County,12906,0.142857143,0.230769231
90240,74028,Depew,OK,Tulsa,Creek County,14431,0.136363636,0.229508197
74371,37409,Chattanooga,TN,Chattanooga,Hamilton County,12000,0.071428571,0.229508197
70341,29160,Swansea,SC,Columbia,Lexington County,8883,0.092592593,0.229166667
74734,38255,Sharon,TN,Martin,Weakley County,13380,0.048780488,0.228571429
69666,28020,Casar,NC,Shelby,Cleveland County,13083,0.076923077,0.228070175
78670,47564,Otwell,IN,Jasper,Pike County,14648,0.076923077,0.228070175
78807,47872,Rockville,IN,,Parke County,9331,0.06557377,0.226415094
75882,41039,Moorefield,KY,,Fleming County,12848,0.113636364,0.225
68633,25514,Fort Gay,WV,Huntington-Ashland,Wayne County,11712,0.088888889,0.225
100007,98856,Twisp,WA,,Okanogan County,12599,0.031531532,0.22459893
100205,99350,Prosser,WA,Kennewick-Richland,Benton County,7684,0.084745763,0.222929936
71270,30669,Union Point,GA,,Greene County,12425,0.047619048,0.222222222
94319,83813,Cocolalla,ID,Sandpoint,Bonner County,14641,0.068062827,0.221556886
85281,62037,Grafton,IL,St. Louis,Jersey County,13954,0.13253012,0.220779221
84479,60428,Markham,IL,Chicago-Naperville-Elgin,Cook County,8524,0.089285714,0.22
73507,35553,Double Springs,AL,,Winston County,10893,0.041666667,0.219512195
100208,99354,Richland,WA,Kennewick-Richland,Benton County,4563,0.053398058,0.219101124
94624,84642,Manti,UT,,Sanpete County,12775,0.04109589,0.216
94167,83442,Rigby,ID,Idaho Falls,Jefferson County,6349,0.052325581,0.214765101
90381,74370,Wyandotte,OK,Miami,Ottawa County,11853,0.133333333,0.214285714
78218,46702,Andrews,IN,Huntington,Huntington County,13696,0.075471698,0.212765957
100207,99353,West Richland,WA,Kennewick-Richland,Benton County,6688,0.076530612,0.212643678
94269,83676,Wilder,ID,Boise City,Canyon County,11508,0.081081081,0.212121212
74479,37779,Luttrell,TN,Knoxville,Union County,11875,0.081081081,0.212121212
94049,83204,Pocatello,ID,Pocatello,Bannock County,5913,0.084415584,0.210144928
68192,24530,Callands,VA,Danville,Pittsylvania County,14846,0.102941176,0.209677419
77566,45303,Ansonia,OH,Greenville,Darke County,13926,0.056338028,0.209677419
65809,19142,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,4032,0.066666667,0.20754717
100194,99336,Kennewick,WA,Kennewick-Richland,Benton County,690,0.07027027,0.207317073
100031,98935,Mabton,WA,Yakima,Yakima County,12739,0.025,0.205882353
97366,93620,Dos Palos,CA,Merced,Merced County,9190,0.082278481,0.204225352
94545,84328,Paradise,UT,Logan,Cache County,14752,0.111111111,0.204188482
100195,99337,Kennewick,WA,Kennewick-Richland,Benton County,3721,0.063492063,0.203592814
70989,30260,Morrow,GA,Atlanta-Sandy Springs-Roswell,Clayton County,4593,0.084507042,0.203125
95000,85616,Huachuca City,AZ,Sierra Vista-Douglas,Cochise County,10098,0.064102564,0.202898551
94047,83202,Chubbuck,ID,Pocatello,Bannock County,5581,0.079545455,0.202531646
94357,83860,Sagle,ID,Sandpoint,Bonner County,9252,0.043902439,0.202247191
94359,83864,Sandpoint,ID,Sandpoint,Bonner County,4976,0.04787234,0.201219512
100206,99352,Richland,WA,Kennewick-Richland,Benton County,2004,0.066326531,0.201149425
71018,30296,Riverdale,GA,Atlanta-Sandy Springs-Roswell,Clayton County,4074,0.054054054,0.2
71380,31027,East Dublin,GA,Dublin,Laurens County,8287,0.043478261,0.2
94046,83201,Pocatello,ID,Pocatello,Bannock County,2038,0.096774194,0.197183099
