,Unnamed: 0,Zipcode,Year,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Zip,City,State,CountyName,Average,PerCapInc1213PctChange,PerCapInc1314PctChange,PerCapInc1415PctChange,PerCapInc1516PctChange
5,74960,2655,2017,3257,56.7,75000,65047,152,4.666871354,2655.0,Barnstable,MA,Barnstable County,293.9166666666667,0.10684775568683635,0.08305700860005327,0.04292801126410062,-0.009120735938211277
11,74961,2657,2017,2952,54.9,47500,42402,314,10.63685637,2657.0,Provincetown,MA,Barnstable County,601.3333333333334,0.0013734437995658322,0.015618086894965133,-0.06517098671313437,0.024838063283470824
17,74962,2659,2017,1030,54.7,57540,42638,62,6.019417476,2659.0,Chatham,MA,Barnstable County,328.1666666666667,-0.041900755542025325,0.12455587971922943,0.11027201972720957,-0.05173052008143619
23,74963,2660,2017,6657,56.7,54924,37433,737,11.07105303,2660.0,Dennis,MA,Barnstable County,253.0833333333333,0.057427737632017806,0.10845352695732169,0.02329717232793893,0.06363689027922614
29,74964,2664,2017,9226,52.4,56242,33321,752,8.150877954,2664.0,Yarmouth,MA,Barnstable County,247.25,-0.023282705169073048,-0.049627235785364654,0.046057504545148564,0.03543611200514962
35,74965,2666,2017,638,64.0,63306,34001,123,19.27899687,2666.0,Truro,MA,Barnstable County,393.58333333333326,-0.24573908747662232,-0.1232046783625731,-0.06538964330496488,-0.030429321762959538
41,74966,2667,2017,3075,57.4,57667,35707,356,11.57723577,2667.0,Wellfleet,MA,Barnstable County,331.9166666666667,-0.0984839926797858,-0.12337727432208911,-0.023957231481746222,0.035265516534372265
47,74967,2668,2017,2807,53.6,94250,49540,92,3.277520485,2668.0,Barnstable,MA,Barnstable County,228.75,-0.08385185816570062,0.15116414300002323,-0.09096419623373475,0.12545010002222723
53,74968,2670,2017,1158,59.3,63675,55973,101,8.72193437,2670.0,Dennis,MA,Barnstable County,302.75,0.03959854513632499,0.08983296067341828,0.031571325126719785,0.1589452009920913
59,74969,2673,2017,8397,48.7,70736,36215,460,5.478146957000001,2673.0,Yarmouth,MA,Barnstable County,237.8333333333333,0.04620853080568721,0.00036729821554293274,0.02444696019337278,0.03216653724389218
65,74970,2675,2017,6314,60.5,68638,43051,455,7.206208426,2675.0,Yarmouth,MA,Barnstable County,241.8333333333333,-0.009035420771855596,0.037780687715214034,-0.06133750817833439,0.013890617609718436
71,74971,2703,2017,44326,40.3,70136,33965,4013,9.05337725,2703.0,Attleboro,MA,Bristol County,197.66666666666663,0.015305955229261592,0.0017431725740848503,0.015016756896107264,0.04622515715283515
77,74972,2715,2017,3703,40.4,98112,39143,225,6.076154469,2715.0,Dighton,MA,Bristol County,195.66666666666663,0.01619354209345425,0.0009919682570158628,0.021066427977750823,0.1450799912338374
83,74973,2718,2017,6295,44.0,93034,41172,430,6.83081811,2718.0,Taunton,MA,Bristol County,187.0833333333333,0.02634173827299624,0.07809497666758158,0.03800127307447476,0.13129330962163488
