Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
Zip,1001,MA,Hampden County,Agawam,1.384774264
Zip,1002,MA,Hampshire County,Amherst,1.716235928
Zip,1005,MA,Worcester County,Barre,2.896183387
Zip,1007,MA,Hampshire County,Belchertown,0.679622859
Zip,1008,MA,Hampden County,Blandford,2.787299721
Zip,1010,MA,Hampden County,Brimfield,1.937065999
Zip,1011,MA,Hampden County,Chester,2.46126474
Zip,1013,MA,Hampden County,Chicopee,2.055226055
Zip,1020,MA,Hampden County,Chicopee,2.614984686
Zip,1022,MA,Hampden County,Chicopee,5.55030935
Zip,1026,MA,Hampshire County,Cummington,0.260717602
Zip,1027,MA,Hampshire County,Easthampton,1.311132619
Zip,1028,MA,Hampden County,East Longmeadow,1.197415963
Zip,1030,MA,Hampden County,Agawam,2.07823564
Zip,1033,MA,Hampshire County,Granby,1.584880197
Zip,1034,MA,Hampden County,Tolland,-0.170563699
Zip,1035,MA,Hampshire County,Hadley,-0.353255194
Zip,1036,MA,Hampden County,Hampden,1.090888105
Zip,1038,MA,Hampshire County,Hatfield,0.641175044
Zip,1040,MA,Hampden County,Holyoke,2.416096749
Zip,1050,MA,Hampshire County,Huntington,0.338824178
Zip,1053,MA,Hampshire County,Northampton,0.493318719
Zip,1054,MA,Franklin County,Leverett,0.631454156
Zip,1056,MA,Hampden County,Ludlow,2.391158213
Zip,1060,MA,Hampshire County,Northampton,1.672319344
Zip,1062,MA,Hampshire County,Northampton,-1.155147551
Zip,1068,MA,Worcester County,Oakham,2.281159906
Zip,1071,MA,Hampden County,Russell,0.390972431
Zip,1072,MA,Franklin County,Shutesbury,1.862391168
Zip,1073,MA,Hampshire County,Southampton,1.276408533
Zip,1075,MA,Hampshire County,South Hadley,0.386718432
Zip,1077,MA,Hampden County,Southwick,0.303715678
Zip,1081,MA,Hampden County,Wales,1.578960243
Zip,1082,MA,Hampshire County,Ware,4.15479617
Zip,1083,MA,Worcester County,Warren,4.482464098
Zip,1085,MA,Hampden County,Westfield,2.503709871
Zip,1089,MA,Hampden County,West Springfield,1.454794854
Zip,1092,MA,Worcester County,Warren,4.988030573
Zip,1095,MA,Hampden County,Wilbraham,0.986342838
Zip,1096,MA,Hampshire County,Williamsburg,0.614521467
Zip,1098,MA,Hampshire County,Worthington,-1.485346189
Zip,1104,MA,Hampden County,Springfield,5.049016503
