zipcode,2016newlistingsSum
10025,0
60657,0
10023,0
77494,0
60614,0
77449,1559
79936,974
77084,1184
10002,0
60640,0
94109,0
926,0
10016,0
78660,1251
37013,869
32162,0
11235,0
11375,0
60647,0
90250,0
37211,811
11201,0
10009,0
77573,0
60618,0
78130,0
77584,0
10011,0
10128,0
28269,976
20002,0
78613,1160
78572,0
30349,1455
79912,1177
94565,0
90046,0
77433,2258
75052,0
20009,0
37042,1863
73099,0
77429,1669
10462,0
77479,1448
10003,0
60613,0
63376,1077
30044,1116
10019,0
77036,0
10463,0
28277,0
30043,1528
11230,0
60625,0
78245,1404
11209,0
60629,734
30096,827
7030,0
60610,0
11221,0
78704,0
75287,0
85032,1151
77077,785
10024,0
33160,3586
23464,0
21234,1047
30024,0
75243,501
98052,0
11214,0
78521,0
8701,1250
77379,1527
94501,0
78666,0
11207,0
33411,2027
11229,0
78745,626
60619,640
23462,1193
28027,847
94110,0
33025,1215
75067,0
90034,0
33139,3101
44107,0
48197,0
2169,0
11377,0
66062,0
34787,0
44035,825
95630,837
90044,0
90805,388
80134,0
60611,0
90650,0
85710,723
92683,353
10314,0
19143,555
11234,0
85281,0
11355,0
30281,0
85225,1027
11215,0
60617,645
37075,0
94558,0
90026,0
87114,1309
32210,1054
43081,0
91910,496
6010,0
17603,687
78240,0
89108,1165
93722,0
87111,913
85308,1168
79938,0
76063,924
77459,1462
48180,0
94533,0
33908,0
97229,0
91709,0
75056,853
76028,0
78577,0
44060,880
30040,2150
11238,0
33024,1145
98012,0
95608,0
14850,0
43055,799
85364,807
43123,936
15601,766
33647,1435
27587,0
80013,0
11385,0
90066,0
92677,0
20906,927
44256,0
77845,0
6902,0
2148,0
65807,0
60620,709
30318,0
78641,0
45011,855
11373,0
92336,1138
99301,855
95823,0
7302,0
27410,0
30188,0
92345,1210
65203,0
77450,1041
10028,0
89121,974
27406,0
92126,437
98103,0
27610,0
92804,0
8753,1470
75228,506
60634,918
92101,0
20011,532
43130,733
28078,0
92503,812
76244,1265
29732,0
91911,0
28314,1173
95747,0
34135,0
90019,0
75035,0
60016,0
87120,1202
77095,1022
